Date,tmr,microrev,mridv3l,mridv3s
18/05/2011,44836,38940,93374,86323
19/05/2011,44836,38998,93374,86305
20/05/2011,44811,38998,93424,86328
23/05/2011,44845,39001,93558,86328
24/05/2011,44723,39001,93419,86784
25/05/2011,44817,39013,94529,86784
26/05/2011,44852,39013,95015,86368
27/05/2011,44879,39013,95015,86542
31/05/2011,44912,38888,95015,86865
01/06/2011,44771,38110,95015,86289
02/06/2011,44728,38249,95028,88137
03/06/2011,44739,38211,95474,88137
06/06/2011,44455,37668,95068,88137
07/06/2011,44293,37681,95068,88137
08/06/2011,44217,37681,95018,88137
09/06/2011,44264,37542,95029,88137
10/06/2011,43879,37527,94490,88137
13/06/2011,44089,37481,94256,88386
14/06/2011,44094,37688,94149,88386
15/06/2011,44007,38128,94149,88386
16/06/2011,43879,38128,94103,88386
17/06/2011,43009,38301,93955,88386
20/06/2011,43009,38244,93965,88386
21/06/2011,43009,38244,93965,88452
22/06/2011,43009,38244,93965,89241
23/06/2011,43059,38732,93965,89241
24/06/2011,42990,38732,93965,89241
27/06/2011,43073,38851,93965,89241
28/06/2011,43362,38851,93965,88479
29/06/2011,43390,39420,93965,88409
30/06/2011,43390,39614,93965,88409
01/07/2011,43390,39593,93965,88138
05/07/2011,43390,40100,93965,88248
06/07/2011,43390,40100,93965,88188
07/07/2011,43390,40100,93965,88378
08/07/2011,43520,40132,93931,88300
11/07/2011,43464,40132,93605,88210
12/07/2011,43122,39270,94014,88210
13/07/2011,43447,39341,93994,88210
14/07/2011,43447,39090,94007,88210
15/07/2011,43422,39090,94498,88134
18/07/2011,43333,39005,94736,88365
19/07/2011,43477,38782,94736,88480
20/07/2011,43365,38965,94606,88509
21/07/2011,43370,39148,94606,88699
22/07/2011,43496,38878,94374,88575
25/07/2011,43317,39168,94373,88658
26/07/2011,42979,39168,94529,88658
27/07/2011,42797,39033,94500,88658
28/07/2011,42758,39033,94986,88658
29/07/2011,42865,39318,95296,88676
01/08/2011,42855,39318,95476,89749
02/08/2011,42708,39401,95264,89749
03/08/2011,43126,39442,96484,89749
04/08/2011,41193,39476,95504,89749
05/08/2011,41182,39476,96034,89749
08/08/2011,40003,39476,92472,89749
09/08/2011,40311,39476,93384,89749
10/08/2011,40171,39476,93586,90196
11/08/2011,40171,39476,94516,90074
12/08/2011,40171,39476,94516,90239
15/08/2011,40171,39540,94516,90451
16/08/2011,40171,39626,94516,90451
17/08/2011,40171,39626,94516,90715
18/08/2011,40171,40162,94418,90715
19/08/2011,40171,40202,94386,90715
22/08/2011,40171,39982,94451,91307
23/08/2011,40171,39982,94451,91307
24/08/2011,40151,40181,94451,91555
25/08/2011,40422,40182,94451,91555
26/08/2011,40422,40496,94451,91490
29/08/2011,40422,40496,94451,91229
30/08/2011,40422,40483,94451,91657
31/08/2011,40422,40406,94451,92713
01/09/2011,40422,40501,94451,92713
02/09/2011,40839,40908,94451,92713
06/09/2011,41092,41071,95655,92713
07/09/2011,41055,41071,95655,92359
08/09/2011,41055,41071,95655,92687
09/09/2011,41055,41167,95718,91876
12/09/2011,41052,41615,95921,91864
13/09/2011,41245,41615,95921,91226
14/09/2011,41245,41615,95921,91590
15/09/2011,41245,41759,95921,91590
16/09/2011,41245,41353,95670,91590
19/09/2011,41293,41295,95670,91488
20/09/2011,41202,41285,95420,92473
21/09/2011,41212,39838,94440,92764
22/09/2011,41269,39884,92990,92764
23/09/2011,41512,39820,94593,92764
26/09/2011,41704,39820,95406,92527
27/09/2011,41588,39820,95406,93037
28/09/2011,41581,39640,95384,93037
29/09/2011,41900,39640,95647,93037
30/09/2011,41562,39640,95763,93037
03/10/2011,41463,39640,94558,93037
04/10/2011,41678,39640,98560,93037
05/10/2011,41754,39713,98560,92618
06/10/2011,41754,39703,98560,92738
07/10/2011,41754,39762,98560,93070
10/10/2011,41754,39762,98560,93070
11/10/2011,41754,39762,98560,93077
12/10/2011,41712,39687,98368,93257
13/10/2011,41777,40004,98368,93257
14/10/2011,41777,40386,98368,93071
17/10/2011,41777,39854,98368,92995
18/10/2011,41777,40358,98722,92995
19/10/2011,41777,40358,98722,93259
20/10/2011,41777,40300,99041,93896
21/10/2011,41777,40300,99041,94382
24/10/2011,41777,40300,99041,94461
25/10/2011,41735,40282,99041,94512
26/10/2011,41806,40282,99041,94528
27/10/2011,41870,40599,99041,94399
28/10/2011,41870,41110,99372,94399
31/10/2011,41848,41110,99372,94399
01/11/2011,42149,41320,99946,94461
02/11/2011,43037,41320,99671,94051
03/11/2011,42949,41320,99898,93921
04/11/2011,42949,41252,99699,93894
07/11/2011,43126,41293,99018,93894
08/11/2011,43093,41646,99057,93478
09/11/2011,42732,42539,98889,93478
10/11/2011,42811,42539,98937,93478
11/11/2011,42879,42539,100973,93614
14/11/2011,42813,42224,100973,93614
15/11/2011,42813,42224,100973,93606
16/11/2011,42813,42224,100776,94533
17/11/2011,42644,42072,100926,94533
18/11/2011,42792,41985,100420,94533
21/11/2011,42758,42558,100248,94533
22/11/2011,42772,42693,100567,94533
23/11/2011,42772,42247,100017,94533
25/11/2011,42772,42544,99527,94533
28/11/2011,42772,42466,99442,94533
29/11/2011,42772,42466,99442,94533
30/11/2011,42772,42466,99442,94665
01/12/2011,42772,42656,99442,94709
02/12/2011,42625,42656,99442,94798
05/12/2011,42694,42656,99442,94537
06/12/2011,42694,42770,99442,94537
07/12/2011,42778,42828,99442,94646
08/12/2011,42742,43436,99442,94646
09/12/2011,43280,43469,99731,94707
12/12/2011,43217,43751,99731,94707
13/12/2011,43061,43370,99731,94707
14/12/2011,42845,43621,99665,94707
15/12/2011,42984,43621,99768,94707
16/12/2011,43025,43588,99432,94707
19/12/2011,43001,43373,99324,95250
20/12/2011,43044,43373,99324,95250
21/12/2011,43044,43401,99207,95358
22/12/2011,43093,43390,99207,95358
23/12/2011,43088,43473,99207,95358
27/12/2011,43104,43226,99207,95940
28/12/2011,43067,42825,99207,96551
29/12/2011,43072,43018,99207,96551
30/12/2011,43072,43018,99207,96551
03/01/2012,43079,43018,99207,96551
04/01/2012,43124,43186,99122,96666
05/01/2012,43516,43186,99599,96437
06/01/2012,43305,43186,99599,96418
09/01/2012,43408,43680,99785,96183
10/01/2012,43408,43132,99901,95894
11/01/2012,43544,43033,99901,95864
12/01/2012,43719,43378,99872,95589
13/01/2012,43853,43598,99429,95575
17/01/2012,43580,43598,99576,96032
18/01/2012,43654,43598,99576,95971
19/01/2012,43654,43598,99576,95996
20/01/2012,43248,42949,99314,95989
23/01/2012,43297,42949,99426,95989
24/01/2012,43584,43049,99426,96094
25/01/2012,43858,41940,99426,95849
26/01/2012,43852,42124,99254,96420
